time,deviceName,location,object_hAcc,object_sat
2023-01-01 13:34:22.118290192+00:00,A0013,43.2511959::-7.3386327,18,7
2023-01-01 23:06:22.115289354+00:00,A0013,43.2512541::-7.338508,6,7
2023-01-02 01:16:20.730813487+00:00,A0013,43.2512184::-7.3386084,4,6
2023-01-02 10:07:09.944866038+00:00,A0013,43.2512052::-7.3386137,6,6
2023-01-02 10:36:21.057132336+00:00,A0013,43.2509573::-7.3420473,3,9
2023-01-02 10:48:02.977982394+00:00,A0013,43.2523747::-7.3438663,10,9
2023-01-02 11:03:01.894683528+00:00,A0013,43.2523604::-7.3438758,17,8
2023-01-02 11:18:25.896940966+00:00,A0013,43.252498::-7.3436218,8,8
2023-01-02 11:34:06.046043567+00:00,A0013,43.2524478::-7.3437342,14,7
2023-01-02 11:49:44.945186767+00:00,A0013,43.2525132::-7.3435231,9,7
2023-01-02 12:05:23.211666196+00:00,A0013,43.2522366::-7.3439553,9,7
2023-01-02 13:47:35.928395296+00:00,A0013,43.2521188::-7.3436545,6,10
2023-01-02 14:02:45.755038088+00:00,A0013,43.2520196::-7.34369,12,10
2023-01-02 14:18:05.236233212+00:00,A0013,43.2519091::-7.3435501,17,9
2023-01-02 14:33:21.869157034+00:00,A0013,43.2518071::-7.3436265,17,10
2023-01-02 14:48:40.768772765+00:00,A0013,43.2519003::-7.343494,12,8
2023-01-02 15:04:03.938914412+00:00,A0013,43.2518886::-7.3433947,12,8
2023-01-02 15:19:27.836969207+00:00,A0013,43.2517911::-7.3432124,11,8
2023-01-02 15:42:34.423217155+00:00,A0013,43.2519908::-7.3429781,18,8
2023-01-02 17:45:23.754435640+00:00,A0013,43.2520251::-7.3407721,12,5
2023-01-02 17:55:18.494954504+00:00,A0013,43.2526453::-7.3395382,7,7
2023-01-02 18:02:53.838231617+00:00,A0013,43.2520398::-7.3385608,4,7
2023-01-02 18:13:04.015328795+00:00,A0013,43.2513421::-7.3384818,4,9
2023-01-02 19:15:24.909108053+00:00,A0013,43.2512018::-7.3383718,6,7
2023-01-02 19:42:49.884076473+00:00,A0013,43.2512105::-7.3386254,8,6
2023-01-02 20:15:39.855397833+00:00,A0013,43.2511814::-7.3386327,4,6
2023-01-03 02:59:23.447521135+00:00,A0013,43.25119::-7.338452,3,6
2023-01-03 03:15:21.850915634+00:00,A0013,43.2512307::-7.3386128,3,7
2023-01-03 05:27:00.615988514+00:00,A0013,43.2511987::-7.3385877,4,7
2023-01-03 05:42:49.632593328+00:00,A0013,43.2513098::-7.338483,3,8
2023-01-03 08:23:13.475891264+00:00,A0013,43.251142::-7.3383959,9,5
2023-01-03 09:30:47.695749833+00:00,A0013,43.2511099::-7.3384746,5,7
2023-01-03 10:38:35.187644137+00:00,A0013,43.2528044::-7.3402003,6,6
2023-01-03 10:54:05.875255210+00:00,A0013,43.2524076::-7.3442532,4,8
2023-01-03 11:09:27.443662987+00:00,A0013,43.2524987::-7.3440539,3,8
2023-01-03 11:24:48.418530249+00:00,A0013,43.252658::-7.3437663,5,8
2023-01-03 11:39:59.491534019+00:00,A0013,43.2525612::-7.3438533,8,8
2023-01-03 11:55:50.572385447+00:00,A0013,43.2527286::-7.343786,4,7
2023-01-03 12:11:23.814313607+00:00,A0013,43.2527108::-7.3437196,4,8
2023-01-03 12:26:35.307874016+00:00,A0013,43.252713::-7.3436591,5,8
2023-01-03 12:42:19.472511892+00:00,A0013,43.2525512::-7.3439709,3,8
2023-01-03 15:01:23.529353859+00:00,A0013,43.2525257::-7.3439892,18,9
2023-01-03 15:16:31.986869794+00:00,A0013,43.2524237::-7.3440997,18,9
2023-01-03 15:25:30.417428435+00:00,A0013,43.2519433::-7.343472,19,9
2023-01-03 16:24:27.388990913+00:00,A0013,43.2519106::-7.3430748,11,9
2023-01-03 17:35:52.691901476+00:00,A0013,43.2523543::-7.3404806,5,8
2023-01-03 18:14:09.435481363+00:00,A0013,0::0,0,0
2023-01-03 19:58:36.367596745+00:00,A0013,43.2512057::-7.3385667,10,6
2023-01-04 11:32:53.473878217+00:00,A0013,43.2500895::-7.3429511,7,7
2023-01-04 11:48:05.521077410+00:00,A0013,43.2502705::-7.3430337,4,10
2023-01-04 12:03:13.352056340+00:00,A0013,43.2501647::-7.3431071,11,10
2023-01-04 12:18:28.368768874+00:00,A0013,43.2502199::-7.3430554,14,10
2023-01-04 12:41:52.842181836+00:00,A0013,43.2505035::-7.343134,13,9
2023-01-04 12:57:02.283644675+00:00,A0013,43.250227::-7.343046,12,9
2023-01-04 13:08:20.420692317+00:00,A0013,43.2502366::-7.3430371,13,9
2023-01-04 14:13:05.724167980+00:00,A0013,43.2503493::-7.3429019,3,8
2023-01-04 15:27:21.995118928+00:00,A0013,43.2504406::-7.3429198,4,12
2023-01-04 16:09:36.933780228+00:00,A0013,43.2503431::-7.3431267,8,11
2023-01-04 16:45:53.789146536+00:00,A0013,43.250324::-7.3430587,14,8
2023-01-04 17:05:23.910677360+00:00,A0013,43.2503707::-7.3429759,11,9
