time,deviceName,object_hAcc,object_sat,latitud,longitud,geometry
2023-04-20 06:35:45.574985190+00:00,A0013,12,5,43.2510791,-7.338469,POINT (-7.338469 43.2510791)
2023-04-20 06:57:55.075616210+00:00,A0013,6,6,43.2511827,-7.3385733,POINT (-7.3385733 43.2511827)
2023-04-20 07:21:05.574299112+00:00,A0013,11,8,43.2513336,-7.3385944,POINT (-7.3385944 43.2513336)
2023-04-20 09:18:50.824294631+00:00,A0013,7,8,43.2513839,-7.336364,POINT (-7.336364 43.2513839)
2023-04-20 09:34:23.325211296+00:00,A0013,6,7,43.2514176,-7.3362283,POINT (-7.3362283 43.2514176)
2023-04-20 09:49:59.824418526+00:00,A0013,4,8,43.2514083,-7.3366771,POINT (-7.3366771 43.2514083)
2023-04-20 10:05:53.574333160+00:00,A0013,10,7,43.2513323,-7.3363714,POINT (-7.3363714 43.2513323)
2023-04-20 10:22:36.574524080+00:00,A0013,8,8,43.251673,-7.3365574,POINT (-7.3365574 43.251673)
2023-04-20 10:42:05.574339326+00:00,A0013,8,8,43.2515505,-7.3364626,POINT (-7.3364626 43.2515505)
2023-04-20 11:04:58.103728800+00:00,A0013,21,8,43.25162,-7.3366898,POINT (-7.3366898 43.25162)
2023-04-20 11:12:45.075300972+00:00,A0013,10,8,43.2516919,-7.3370278,POINT (-7.3370278 43.2516919)
2023-04-20 11:53:54.574314741+00:00,A0013,17,8,43.2516406,-7.3368108,POINT (-7.3368108 43.2516406)
2023-04-20 12:12:53.574305007+00:00,A0013,9,7,43.251533,-7.3364629,POINT (-7.3364629 43.251533)
2023-04-20 12:30:14.324405931+00:00,A0013,7,7,43.2514046,-7.3363584,POINT (-7.3363584 43.2514046)
2023-04-20 12:46:14.574797857+00:00,A0013,6,6,43.2516148,-7.3365344,POINT (-7.3365344 43.2516148)
2023-04-20 13:26:36.574238596+00:00,A0013,5,7,43.2513233,-7.3367178,POINT (-7.3367178 43.2513233)
2023-04-20 13:35:35.574449640+00:00,A0013,5,8,43.2511994,-7.3367953,POINT (-7.3367953 43.2511994)
2023-04-20 14:10:01.350192341+00:00,A0013,10,8,43.2510833,-7.3367654,POINT (-7.3367654 43.2510833)
2023-04-20 14:42:11.574257119+00:00,A0013,15,8,43.2513253,-7.3370621,POINT (-7.3370621 43.2513253)
2023-04-20 14:55:43.824410584+00:00,A0013,9,7,43.2516328,-7.3369224,POINT (-7.3369224 43.2516328)
2023-04-20 15:27:37.074579132+00:00,A0013,5,7,43.2514016,-7.336551,POINT (-7.336551 43.2514016)
2023-04-20 15:43:15.575195870+00:00,A0013,6,7,43.2515522,-7.3367861,POINT (-7.3367861 43.2515522)
2023-04-20 15:58:53.574490078+00:00,A0013,10,9,43.2516678,-7.3366846,POINT (-7.3366846 43.2516678)
2023-04-20 16:43:40.356507205+00:00,A0013,7,7,43.2513505,-7.3367619,POINT (-7.3367619 43.2513505)
2023-04-20 16:53:06.606358094+00:00,A0013,6,8,43.2511303,-7.3364828,POINT (-7.3364828 43.2511303)
2023-04-20 17:10:13.856312426+00:00,A0013,5,7,43.2513634,-7.3364668,POINT (-7.3364668 43.2513634)
2023-04-20 17:18:33.606417294+00:00,A0013,5,8,43.2515359,-7.3370132,POINT (-7.3370132 43.2515359)
2023-04-20 17:26:35.606743040+00:00,A0013,8,8,43.2512736,-7.3363508,POINT (-7.3363508 43.2512736)
2023-04-20 17:43:58.606240395+00:00,A0013,4,7,43.2512064,-7.3385434,POINT (-7.3385434 43.2512064)
2023-04-20 19:27:15.606350331+00:00,A0013,5,7,43.2513214,-7.3370349,POINT (-7.3370349 43.2513214)
2023-04-20 19:37:01.356498009+00:00,A0013,5,7,43.2516947,-7.3363666,POINT (-7.3363666 43.2516947)
2023-04-20 19:52:23.378220570+00:00,A0013,3,9,43.2518734,-7.3365363,POINT (-7.3365363 43.2518734)
2023-04-20 20:07:34.607003340+00:00,A0013,9,8,43.2516059,-7.3360571,POINT (-7.3360571 43.2516059)
2023-04-20 20:23:03.106825468+00:00,A0013,6,8,43.2518225,-7.3363459,POINT (-7.3363459 43.2518225)
2023-04-20 20:38:41.356405486+00:00,A0013,3,8,43.2516797,-7.3363748,POINT (-7.3363748 43.2516797)
2023-04-20 21:01:43.873596340+00:00,A0013,7,8,43.2519116,-7.3368774,POINT (-7.3368774 43.2519116)
2023-04-20 22:20:53.606735769+00:00,A0013,4,6,43.2516901,-7.336789,POINT (-7.336789 43.2516901)
2023-04-20 23:04:30.368298104+00:00,A0013,5,8,43.251901,-7.3366116,POINT (-7.3366116 43.251901)
2023-04-21 06:40:41.607195245+00:00,A0013,30,5,43.2511281,-7.3384793,POINT (-7.3384793 43.2511281)
2023-04-21 07:20:29.606802028+00:00,A0013,12,7,43.2508671,-7.3388249,POINT (-7.3388249 43.2508671)
2023-04-21 07:39:37.865160331+00:00,A0013,3,7,43.251088,-7.3383858,POINT (-7.3383858 43.251088)
2023-04-21 07:41:05.106811277+00:00,A0013,4,8,43.2511185,-7.3383419,POINT (-7.3383419 43.2511185)
2023-04-21 07:41:49.356466059+00:00,A0013,9,7,43.2511603,-7.338407,POINT (-7.338407 43.2511603)
2023-04-21 07:42:32.856914056+00:00,A0013,10,7,43.2510554,-7.3382292,POINT (-7.3382292 43.2510554)
2023-04-21 07:47:32.857194574+00:00,A0013,12,7,43.2510482,-7.3383631,POINT (-7.3383631 43.2510482)
2023-04-21 07:54:14.871927409+00:00,A0013,11,7,43.2511014,-7.3385096,POINT (-7.3385096 43.2511014)
2023-04-21 07:56:35.108396247+00:00,A0013,6,8,43.2511001,-7.3385307,POINT (-7.3385307 43.2511001)
2023-04-21 08:07:15.877270891+00:00,A0013,10,8,43.2512279,-7.3386069,POINT (-7.3386069 43.2512279)
2023-04-21 08:44:08.107302640+00:00,A0013,15,8,43.2510734,-7.3384964,POINT (-7.3384964 43.2510734)
2023-04-21 08:46:20.356784177+00:00,A0013,14,8,43.2511236,-7.338606,POINT (-7.338606 43.2511236)
2023-04-21 08:46:34.856744885+00:00,A0013,10,8,43.2510285,-7.338503,POINT (-7.338503 43.2510285)
2023-04-21 09:48:54.107360503+00:00,A0013,18,6,43.2526313,-7.3445379,POINT (-7.3445379 43.2526313)
2023-04-21 10:05:00.106507652+00:00,A0013,36,7,43.2549333,-7.3436493,POINT (-7.3436493 43.2549333)
